Urban agglomeration,Country,"Total 2010 population, thousands",pop below 1.5 rise level,pop below 2 rise level,pop below 3 rise level,pop below 4 rise level,percent pop below 1.5C,percent pop below 2C,percent pop below 3C,percent pop below 4,sea level rise (m) 1.5c,sea level rise (m) 2C,sea level rise (m) 3C,sea level rise (m) 4C
Algiers,Algeria,4436.42,88.86,138.37,175.09,237.50,0.02,0.03,0.04,0.05,2.90,4.71,6.21,8.27
Oran,Algeria,1228.87,35.30,41.49,47.06,53.61,0.03,0.03,0.04,0.04,2.87,4.65,6.13,8.17
Luanda,Angola,2100.66,22.15,45.16,63.45,93.22,0.01,0.02,0.03,0.04,2.93,4.78,6.52,9.00
Buenos Aires,Argentina,13207.76,520.10,1101.59,1713.97,2439.66,0.04,0.08,0.13,0.19,2.84,4.63,6.42,8.97
Rosario1,Argentina,1235.12,0.14,0.46,1.41,4.86,0.00,0.00,0.00,0.00,2.80,4.57,6.33,8.82
Adelaide,Australia,1013.62,6.98,18.93,48.56,102.37,0.01,0.02,0.05,0.10,2.62,4.25,5.84,8.07
Brisbane,Australia,1142.81,39.79,91.52,128.74,176.09,0.04,0.08,0.11,0.15,2.84,4.63,6.31,8.67
Melbourne2,Australia,3307.02,4.96,14.08,39.08,112.60,0.00,0.00,0.01,0.03,2.58,4.18,5.76,7.97
Perth2,Australia,1266.21,7.03,13.85,23.18,43.26,0.01,0.01,0.02,0.03,2.68,4.34,5.97,8.25
Sydney1,Australia,3696.12,39.43,89.68,130.37,218.39,0.01,0.02,0.04,0.06,2.73,4.43,6.07,8.38
Barisal,Bangladesh,6908.17,795.49,2604.43,4281.90,6048.15,0.12,0.38,0.62,0.88,2.99,4.88,6.65,9.15
Chittagong,Bangladesh,9107.42,1890.44,3806.94,5544.45,6994.99,0.21,0.42,0.61,0.77,2.97,4.84,6.60,9.09
Comilla,Bangladesh,3748.81,50.81,429.01,1343.57,2814.43,0.01,0.11,0.36,0.75,2.94,4.79,6.53,8.99
Dhaka,Bangladesh,32179.38,318.59,2018.13,5874.53,12296.98,0.01,0.06,0.18,0.38,2.92,4.77,6.50,8.94
Jamalpur,Bangladesh,4868.22,0.00,0.02,0.09,0.51,0.00,0.00,0.00,0.00,2.90,4.74,6.45,8.88
Khulna,Bangladesh,13219.54,809.01,2609.01,4643.76,7622.76,0.06,0.20,0.35,0.58,2.99,4.88,6.65,9.15
Mymensingh,Bangladesh,10083.34,14.17,139.04,544.04,1306.71,0.00,0.01,0.05,0.13,2.91,4.74,6.46,8.89
Narayanganj,Bangladesh,4522.67,96.85,638.18,1896.55,3541.72,0.02,0.14,0.42,0.78,2.93,4.79,6.53,8.98
Rajshahi,Bangladesh,36351.45,1.01,2.52,5.25,16.43,0.00,0.00,0.00,0.00,2.91,4.75,6.48,8.91
Sylhet,Bangladesh,6563.28,1.72,25.55,178.11,701.38,0.00,0.00,0.03,0.11,2.90,4.72,6.44,8.87
Tangail,Bangladesh,7543.61,10.24,24.47,58.15,204.92,0.00,0.00,0.01,0.03,2.92,4.77,6.50,8.95
Brussels,Belgium,3198.81,278.87,444.22,551.97,734.21,0.09,0.14,0.17,0.23,2.79,4.50,5.77,7.45
Cotonou,Benin,1335.74,495.75,856.89,1109.67,1217.01,0.37,0.64,0.83,0.91,2.94,4.79,6.49,8.88
Belem,Brazil,2032.74,397.42,533.53,633.05,794.33,0.20,0.26,0.31,0.39,3.03,4.95,6.71,9.22
Fortaleza,Brazil,3111.86,16.02,34.00,61.21,122.47,0.01,0.01,0.02,0.04,3.04,4.98,6.76,9.30
Manaus,Brazil,1637.42,0.00,0.11,0.68,1.87,0.00,0.00,0.00,0.00,2.88,4.70,6.39,8.77
Natal,Brazil,1071.76,40.48,50.64,58.02,64.75,0.04,0.05,0.05,0.06,3.08,5.04,6.86,9.44
Niteroi,Brazil,1796.84,75.90,125.75,178.46,256.07,0.04,0.07,0.10,0.14,2.98,4.88,6.70,9.30
Porto Alegre,Brazil,3667.08,351.17,621.03,871.82,1135.56,0.10,0.17,0.24,0.31,2.91,4.75,6.57,9.15
Recife,Brazil,3457.86,366.67,774.64,1176.75,1602.19,0.11,0.22,0.34,0.46,3.06,5.01,6.83,9.41
Rio de Janeiro,Brazil,10278.48,796.56,1306.81,1794.74,2429.06,0.08,0.13,0.18,0.24,2.97,4.86,6.68,9.28
Salvador,Brazil,3108.87,261.02,356.68,436.97,551.21,0.08,0.12,0.14,0.18,3.03,4.96,6.77,9.35
Santos,Brazil,1469.53,255.78,599.78,907.05,1152.63,0.17,0.41,0.62,0.78,2.97,4.85,6.68,9.27
Sao Luis,Brazil,1104.47,208.22,271.43,320.26,392.57,0.19,0.25,0.29,0.36,3.07,5.02,6.81,9.36
Vitoria1,Brazil,1066.82,348.65,403.18,437.35,475.59,0.33,0.38,0.41,0.45,3.01,4.93,6.77,9.38
Phnom Penh,Cambodia,1514.84,0.00,0.00,0.39,38.51,0.00,0.00,0.00,0.03,3.02,4.94,6.73,9.27
Douala,Cameroon,1576.77,74.30,153.87,235.18,355.52,0.05,0.10,0.15,0.23,2.88,4.70,6.38,8.74
Montreal,Canada,2832.29,4.96,10.03,21.77,54.20,0.00,0.00,0.01,0.02,2.73,4.40,5.66,7.35
Vancouver2,Canada,1813.52,295.39,339.89,367.52,396.09,0.16,0.19,0.20,0.22,2.88,4.68,6.22,8.35
Anshan,China,2078.91,3.29,14.76,32.79,80.28,0.00,0.01,0.02,0.04,2.97,4.85,6.61,9.12
Beijing,China,17114.58,1.03,12.14,67.25,270.02,0.00,0.00,0.00,0.02,2.99,4.89,6.66,9.19
Dalian,China,2657.70,86.62,201.48,323.12,469.21,0.03,0.08,0.12,0.18,3.09,5.06,6.90,9.51
Fuzhou,China,2124.54,37.78,132.43,310.52,697.24,0.02,0.06,0.15,0.33,3.06,5.01,6.84,9.44
Haikou,China,1184.03,144.86,253.77,358.62,476.47,0.12,0.21,0.30,0.40,3.11,5.09,6.94,9.58
Hefei,China,2610.55,0.06,0.26,2.95,32.50,0.00,0.00,0.00,0.01,2.94,4.80,6.56,9.06
Hong Kong,China,21993.41,4949.04,6840.80,8350.54,10054.15,0.23,0.31,0.38,0.46,3.04,4.97,6.79,9.36
Huaiyin,China,7857.78,2398.01,3321.33,3935.43,4744.52,0.31,0.42,0.50,0.60,3.01,4.92,6.72,9.28
Huizhou,China,2831.62,229.87,428.21,646.43,901.93,0.08,0.15,0.23,0.32,3.01,4.93,6.72,9.28
Jiangmen,China,5894.44,2394.13,3241.22,3915.82,4504.34,0.41,0.55,0.66,0.76,3.03,4.96,6.77,9.34
Jiaojing,China,2588.23,516.14,1463.08,1959.21,2225.05,0.20,0.57,0.76,0.86,3.11,5.09,6.95,9.60
Lianyungang,China,3013.93,2281.29,2775.58,2914.64,2981.11,0.76,0.92,0.97,0.99,3.03,4.96,6.77,9.35
Linyi,China,8264.09,555.40,956.83,1216.22,1363.37,0.07,0.12,0.15,0.17,2.98,4.87,6.64,9.17
Macau,China,1540.53,289.02,418.31,553.15,749.59,0.19,0.27,0.36,0.49,3.06,5.01,6.84,9.44
Maoming,China,3789.41,140.47,222.44,311.49,447.29,0.04,0.06,0.08,0.12,3.04,4.97,6.77,9.35
Nanjing,China,3841.18,6.65,33.35,104.15,275.97,0.00,0.01,0.03,0.07,2.97,4.85,6.62,9.14
Nantong,China,6527.10,1735.99,4710.52,6076.49,6463.40,0.27,0.72,0.93,0.99,3.08,5.03,6.87,9.49
Ningbo,China,2663.55,510.65,1375.99,1889.14,2303.16,0.19,0.52,0.71,0.87,3.09,5.05,6.90,9.53
Pingdu,China,1265.34,14.71,32.53,53.93,84.54,0.01,0.03,0.04,0.07,3.05,4.99,6.81,9.40
Putian,China,2581.56,430.16,708.52,921.42,1108.68,0.17,0.27,0.36,0.43,3.06,5.00,6.82,9.42
Qingdao,China,3980.05,129.57,308.12,524.84,857.61,0.03,0.08,0.13,0.22,3.06,5.01,6.84,9.44
Quanzhou,China,5870.49,179.38,486.19,893.83,1501.73,0.03,0.08,0.15,0.26,3.05,4.99,6.81,9.40
Rizhao,China,1077.59,132.88,211.08,270.33,343.51,0.12,0.20,0.25,0.32,3.04,4.96,6.77,9.35
Shanghai,China,29514.11,4237.75,11581.66,17508.91,22421.20,0.14,0.39,0.59,0.76,3.06,5.01,6.84,9.45
Shantou,China,13564.74,1131.04,3044.08,5158.89,7381.81,0.08,0.22,0.38,0.54,3.04,4.98,6.79,9.38
Shaoxing,China,2447.92,18.89,178.45,670.34,1599.39,0.01,0.07,0.27,0.65,3.03,4.95,6.77,9.34
Shenzhen,China,10964.20,596.09,997.24,1474.66,2168.65,0.05,0.09,0.13,0.20,3.04,4.97,6.78,9.36
Shijianzhuang,China,14030.30,0.02,0.44,1.72,15.82,0.00,0.00,0.00,0.00,2.94,4.80,6.55,9.02
Shuyang,China,3218.46,409.06,840.99,1184.90,1512.20,0.13,0.26,0.37,0.47,2.99,4.89,6.67,9.21
Suzhou,China,3628.32,831.48,1791.20,2518.33,3151.07,0.23,0.49,0.69,0.87,3.04,4.97,6.79,9.38
Taizhou,China,9085.03,3649.02,6053.86,7876.22,8870.49,0.40,0.67,0.87,0.98,3.03,4.96,6.77,9.34
Tianjin,China,42743.43,1609.71,4984.53,8461.61,12397.46,0.04,0.12,0.20,0.29,3.04,4.97,6.78,9.35
Weifang,China,4197.86,13.31,60.50,149.82,329.41,0.00,0.01,0.04,0.08,3.02,4.94,6.75,9.31
Wenzhou,China,4345.42,740.00,1653.37,2394.83,3250.35,0.17,0.38,0.55,0.75,3.07,5.03,6.86,9.48
Wuhu,China,1551.43,1.31,6.25,31.86,201.45,0.00,0.00,0.02,0.13,2.96,4.83,6.60,9.11
Wuxi,China,7454.13,697.20,2104.65,4294.37,6311.96,0.09,0.28,0.58,0.85,3.02,4.94,6.74,9.31
Xiamen,China,1246.92,26.90,60.93,119.00,246.18,0.02,0.05,0.10,0.20,3.04,4.98,6.79,9.38
Yangzhou,China,1493.02,5.48,55.33,179.54,383.88,0.00,0.04,0.12,0.26,2.99,4.88,6.67,9.20
Yantai,China,1373.36,47.97,142.71,257.34,361.89,0.04,0.10,0.19,0.26,3.09,5.06,6.90,9.52
Yingkow,China,1540.85,561.12,950.40,1092.72,1182.32,0.36,0.62,0.71,0.77,2.99,4.88,6.66,9.18
Zhangzhou,China,1344.87,148.31,277.69,382.90,518.08,0.11,0.21,0.29,0.39,3.02,4.94,6.75,9.32
Zhanjiang,China,1262.37,52.61,106.27,187.30,319.99,0.04,0.08,0.15,0.25,3.05,4.99,6.80,9.38
Zhenjiang,China,1425.96,21.33,66.67,203.45,456.49,0.02,0.05,0.14,0.32,2.99,4.89,6.68,9.22
Zibo,China,5359.12,0.06,1.85,20.92,110.61,0.00,0.00,0.00,0.02,3.01,4.91,6.70,9.25
Barranquilla,Colombia,1170.84,79.49,108.40,127.83,149.70,0.07,0.09,0.11,0.13,3.05,4.98,6.71,9.16
Abidjan,Cote d'Ivoire,4046.79,398.10,777.34,1111.50,1363.13,0.10,0.19,0.28,0.34,2.94,4.80,6.50,8.91
Havana,Cuba,2184.59,93.42,160.69,232.69,306.51,0.04,0.07,0.11,0.14,3.04,4.96,6.64,9.00
Copenhagen,Denmark,1397.85,176.42,254.56,324.66,390.98,0.13,0.18,0.23,0.28,2.84,4.58,5.83,7.50
Santo Domingo,Dominican Republic,3101.10,55.80,86.52,113.34,157.68,0.02,0.03,0.04,0.05,3.04,4.97,6.65,9.03
Guayaquil,Ecuador,2411.26,954.26,1433.34,1683.36,1857.98,0.40,0.59,0.70,0.77,3.02,4.93,6.70,9.21
Alexandria3,Egypt,4900.98,2376.98,2755.35,3045.26,3421.12,0.49,0.56,0.62,0.70,2.92,4.76,6.38,8.65
Cairo,Egypt,15518.78,2.88,30.81,102.62,341.12,0.00,0.00,0.01,0.02,2.86,4.66,6.26,8.49
Dumyat,Egypt,1266.08,570.43,868.32,1018.73,1138.84,0.45,0.69,0.81,0.90,2.93,4.78,6.40,8.68
El Giza,Egypt,5780.38,0.00,0.02,0.07,0.46,0.00,0.00,0.00,0.00,2.84,4.63,6.21,8.43
El Mansura,Egypt,1267.71,44.90,298.48,585.28,821.86,0.04,0.24,0.46,0.65,2.91,4.74,6.36,8.63
Tanta,Egypt,9466.34,31.82,168.61,729.80,2487.49,0.00,0.02,0.08,0.26,2.88,4.69,6.30,8.54
Lille,France,1300.61,0.07,0.46,1.01,2.72,0.00,0.00,0.00,0.00,2.79,4.51,5.77,7.45
Marseille,France,1071.39,18.30,30.47,38.21,53.97,0.02,0.03,0.04,0.05,2.85,4.62,6.03,7.95
Hamburg,Germany,2074.52,170.10,246.83,280.61,313.33,0.08,0.12,0.14,0.15,2.79,4.52,5.77,7.44
Accra,Ghana,2619.28,18.13,40.48,76.41,210.84,0.01,0.02,0.03,0.08,2.95,4.82,6.53,8.94
Conakry,Guinea,1576.32,154.59,222.50,307.97,446.17,0.10,0.14,0.20,0.28,2.98,4.86,6.56,8.95
Port-au-Prince,Haiti,2383.28,182.43,253.27,299.89,362.70,0.08,0.11,0.13,0.15,3.04,4.96,6.65,9.03
Ahmadabad,India,7957.12,0.19,1.10,4.23,27.36,0.00,0.00,0.00,0.00,2.91,4.74,6.45,8.86
Brahmapur,India,1877.36,2.37,17.74,43.60,90.99,0.00,0.01,0.02,0.05,3.01,4.92,6.69,9.21
Calcutta,India,23760.38,2607.31,5586.35,8174.20,11990.04,0.11,0.24,0.34,0.51,3.01,4.92,6.70,9.22
Chennai,India,9206.43,454.67,1048.19,1845.40,3034.25,0.05,0.11,0.20,0.33,2.99,4.88,6.65,9.15
Cochin,India,5932.45,406.10,749.49,1167.61,2051.43,0.07,0.13,0.20,0.35,3.04,4.97,6.76,9.30
Cuttack,India,10491.55,332.20,751.79,1247.37,1925.16,0.03,0.07,0.12,0.18,3.01,4.91,6.69,9.21
Haldia,India,3135.42,1097.97,1969.58,2554.40,3018.01,0.35,0.63,0.82,0.96,3.03,4.95,6.74,9.28
Haora,India,11789.44,738.80,1880.59,3627.20,7032.89,0.06,0.16,0.31,0.60,3.01,4.92,6.70,9.23
Kakinada,India,2198.74,107.52,397.08,782.71,1178.04,0.05,0.18,0.36,0.54,3.00,4.90,6.67,9.18
Kanchipuram,India,1738.05,3.62,10.74,17.32,23.36,0.00,0.01,0.01,0.01,2.98,4.87,6.63,9.12
Kozhikode,India,9426.64,168.61,263.18,386.69,667.74,0.02,0.03,0.04,0.07,3.02,4.94,6.71,9.23
Krishnanagar,India,5207.01,0.87,6.70,34.68,121.51,0.00,0.00,0.01,0.02,2.97,4.85,6.61,9.09
Machilipatnam,India,1132.79,31.26,270.71,638.56,910.27,0.03,0.24,0.56,0.80,3.00,4.89,6.66,9.16
Madurai,India,7040.64,70.52,213.12,382.07,639.11,0.01,0.03,0.05,0.09,3.00,4.91,6.68,9.19
Mangalore,India,1058.51,12.93,39.43,88.07,150.47,0.01,0.04,0.08,0.14,3.02,4.93,6.71,9.23
Medinipur,India,6915.37,17.36,58.03,136.84,344.34,0.00,0.01,0.02,0.05,2.98,4.87,6.63,9.13
Mumbai,India,21719.11,3559.99,5829.63,8060.42,10840.48,0.16,0.27,0.37,0.50,2.99,4.88,6.64,9.13
Pondicherry,India,4855.11,112.49,270.95,459.48,899.57,0.02,0.06,0.10,0.19,2.99,4.89,6.66,9.16
Puri,India,1484.28,9.52,76.90,216.68,421.59,0.01,0.05,0.15,0.28,3.03,4.95,6.73,9.27
Rajahmundry,India,4166.02,0.71,8.92,61.06,247.71,0.00,0.00,0.02,0.06,2.98,4.87,6.63,9.12
Surat,India,5699.33,140.97,394.38,765.90,1277.68,0.03,0.07,0.13,0.22,2.95,4.81,6.54,8.98
Tiruchchirappalli,India,7869.47,98.92,251.64,417.82,675.88,0.01,0.03,0.05,0.09,3.00,4.90,6.66,9.17
Trivandrum,India,12621.69,557.50,792.77,1070.93,1661.20,0.04,0.06,0.09,0.13,3.07,5.02,6.83,9.40
Vadodara,India,4650.96,0.85,3.82,8.36,15.09,0.00,0.00,0.00,0.00,2.91,4.75,6.46,8.87
Vijayawada,India,5209.66,5.37,58.60,205.10,370.87,0.00,0.01,0.04,0.07,2.96,4.84,6.58,9.05
Visakhapatnam,India,2985.72,38.61,107.75,231.69,409.65,0.01,0.04,0.08,0.14,3.01,4.92,6.70,9.22
Cilacap,Indonesia,6025.30,233.10,482.90,746.59,1095.78,0.04,0.08,0.12,0.18,3.05,4.99,6.79,9.34
Jakarta,Indonesia,42644.74,2663.65,4961.30,7218.48,9528.24,0.06,0.12,0.17,0.22,3.07,5.01,6.82,9.38
Kotabumi,Indonesia,2395.33,28.60,61.25,86.62,126.31,0.01,0.03,0.04,0.05,3.04,4.97,6.77,9.31
Medan,Indonesia,5122.77,138.71,337.33,543.17,760.20,0.03,0.07,0.11,0.15,3.05,4.99,6.79,9.36
Padang,Indonesia,1185.67,115.22,271.40,509.48,700.55,0.10,0.23,0.43,0.59,3.03,4.95,6.74,9.28
